ReconDate,BizID,Amount,PremiumID,AllocatedAmount,PaymentIDs_Used,Status,Shortfall
2026-01-31,12484,1200.0,PREM_00141,1200.0,PAY_00115,Fully Paid,0.0
2026-01-31,12520,1200.0,PREM_00142,1200.0,PAY_00067,Fully Paid,0.0
2026-01-31,12749,1200.0,PREM_00143,1200.0,PAY_00273,Fully Paid,0.0
2026-01-31,12916,1200.0,PREM_00144,1200.0,PAY_00274,Fully Paid,0.0
2026-01-31,12917,1200.0,PREM_00145,1200.0,PAY_00068,Fully Paid,0.0
2026-01-31,13075,1200.0,PREM_00146,1200.0,PAY_00317,Fully Paid,0.0
2026-01-31,13128,1200.0,PREM_00147,1200.0,PAY_00229,Fully Paid,0.0
2026-01-31,13162,1200.0,PREM_00148,1200.0,PAY_00004,Fully Paid,0.0
2026-01-31,13175,1200.0,PREM_00149,0.0,,Unpaid,1200.0
2026-01-31,13363,1200.0,PREM_00150,1200.0,PAY_00275,Fully Paid,0.0
2026-01-31,13384,1200.0,PREM_00151,1200.0,PAY_00182,Fully Paid,0.0
2026-01-31,13396,1200.0,PREM_00152,1200.0,PAY_00265,Fully Paid,0.0
2026-01-31,13562,1200.0,PREM_00153,1200.0,PAY_00255,Fully Paid,0.0
2026-01-31,13682,1200.0,PREM_00154,1200.0,PAY_00183,Fully Paid,0.0
2026-01-31,13685,1200.0,PREM_00155,1200.0,PAY_00184,Fully Paid,0.0
2026-01-31,13687,1200.0,PREM_00156,1200.0,PAY_00185,Fully Paid,0.0
2026-01-31,17819,1200.0,PREM_00157,1200.0,PAY_00153,Fully Paid,0.0
2026-01-31,18002,1200.0,PREM_00158,1200.0,PAY_00186,Fully Paid,0.0
2026-01-31,18331,1200.0,PREM_00159,1200.0,PAY_00308,Fully Paid,0.0
2026-01-31,18613,1200.0,PREM_00160,1200.0,PAY_00318,Fully Paid,0.0
2026-01-31,18616,1200.0,PREM_00161,1200.0,PAY_00116,Fully Paid,0.0
2026-01-31,18692,1200.0,PREM_00162,0.0,,Unpaid,1200.0
2026-01-31,19144,1200.0,PREM_00163,1200.0,PAY_00302,Fully Paid,0.0
2026-01-31,20522,1200.0,PREM_00164,1200.0,PAY_00177,Fully Paid,0.0
2026-01-31,20682,1200.0,PREM_00165,1200.0,PAY_00230,Fully Paid,0.0
2026-01-31,20708,1200.0,PREM_00166,1200.0,PAY_00231,Fully Paid,0.0
2026-01-31,21431,1200.0,PREM_00167,1200.0,PAY_00117,Fully Paid,0.0
2026-01-31,21979,1200.0,PREM_00168,0.0,,Unpaid,1200.0
2026-01-31,22093,1200.0,PREM_00169,1200.0,PAY_00256,Fully Paid,0.0
2026-01-31,22282,1200.0,PREM_00170,0.0,,Unpaid,1200.0
2026-01-31,23248,1200.0,PREM_00171,1200.0,PAY_00159,Fully Paid,0.0
2026-01-31,20001717,1200.0,PREM_00172,1200.0,PAY_00055,Fully Paid,0.0
2026-01-31,20001757,1200.0,PREM_00173,0.0,,Unpaid,1200.0
2026-01-31,20001893,1200.0,PREM_00174,1200.0,PAY_00303,Fully Paid,0.0
2026-01-31,20002125,1200.0,PREM_00175,1200.0,PAY_00119,Fully Paid,0.0
2026-01-31,20002185,1200.0,PREM_00176,1200.0,PAY_00120,Fully Paid,0.0
2026-01-31,20002440,1200.0,PREM_00177,1200.0,PAY_00121,Fully Paid,0.0
2026-01-31,20002540,1200.0,PREM_00178,1200.0,PAY_00209,Fully Paid,0.0
2026-01-31,20002724,1200.0,PREM_00179,1200.0,PAY_00241,Fully Paid,0.0
2026-01-31,20002827,1200.0,PREM_00180,0.0,,Unpaid,1200.0
2026-01-31,20003345,1200.0,PREM_00181,1200.0,PAY_00110,Fully Paid,0.0
2026-01-31,20003371,1200.0,PREM_00182,1200.0,PAY_00122,Fully Paid,0.0
2026-01-31,20003479,1200.0,PREM_00183,0.0,,Unpaid,1200.0
2026-01-31,20003495,1200.0,PREM_00184,1200.0,PAY_00069,Fully Paid,0.0
2026-01-31,20003543,1200.0,PREM_00185,1200.0,PAY_00187,Fully Paid,0.0
2026-01-31,20004525,1200.0,PREM_00186,1200.0,PAY_00188,Fully Paid,0.0
