BizID,Total_Payments,Fully_Used,Partially_Used,Unused,Total_Amount,Allocated_Amount,Remaining_Amount
20003790,1,1,0,0,2400.01,2400.0,0.010000000000218279
20014817,1,1,0,0,2400.02,2400.0,0.01999999999998181
20009958,1,0,0,1,2189.85,0.0,2189.85
20017114,2,0,0,2,1200.0,0.0,1200.0
20029224,2,0,0,2,1200.0,0.0,1200.0
22862,1,1,0,0,600.0,600.0,0.0
2162,1,1,0,0,1200.0,1200.0,0.0
7535,1,1,0,0,1200.0,1200.0,0.0
13128,1,1,0,0,1200.0,1200.0,0.0
20682,1,1,0,0,1200.0,1200.0,0.0
20708,1,1,0,0,1200.0,1200.0,0.0
20007012,1,1,0,0,1200.0,1200.0,0.0
20010224,1,1,0,0,1200.0,1200.0,0.0
20011653,1,1,0,0,1200.0,1200.0,0.0
20015343,1,1,0,0,1200.0,1200.0,0.0
20016043,1,1,0,0,1200.0,1200.0,0.0
20020528,1,1,0,0,1200.0,1200.0,0.0
20028382,1,1,0,0,1200.0,1200.0,0.0
20033207,1,1,0,0,1200.0,1200.0,0.0
20002724,1,1,0,0,1200.01,1200.0,0.009999999999990905
20028522,1,1,0,0,1200.02,1200.0,0.01999999999998181
20032218,1,1,0,0,2400.0,2400.0,0.0
20011890,2,0,0,2,4800.01,0.0,4800.01
20025987,1,0,0,1,0.01,0.0,0.01
20034694,1,0,0,1,97.0,0.0,97.0
3264,1,1,0,0,10.0,10.0,0.0
10935,1,1,0,0,1200.0,1200.0,0.0
20002827,1,1,0,0,1200.0,1200.0,0.0
3996,1,1,0,0,1200.0,1200.0,0.0
7371,1,1,0,0,1200.0,1200.0,0.0
7570,1,1,0,0,1200.0,1200.0,0.0
13562,1,1,0,0,1200.0,1200.0,0.0
22093,1,1,0,0,1200.0,1200.0,0.0
20014326,1,1,0,0,1200.0,1200.0,0.0
20017683,1,1,0,0,1200.0,1200.0,0.0
20021015,1,1,0,0,1200.0,1200.0,0.0
20026074,1,1,0,0,1200.0,1200.0,0.0
20026415,1,1,0,0,1200.0,1200.0,0.0
20029513,1,1,0,0,1200.0,1200.0,0.0
20035644,1,1,0,0,1200.0,1200.0,0.0
20037747,1,1,0,0,1200.0,1200.0,0.0
13396,1,1,0,0,1200.01,1200.0,0.009999999999990905
20036208,2,0,0,2,1200.0,0.0,1200.0
20032987,1,1,0,0,1199.98,1200.0,-0.01999999999998181
12749,1,1,0,0,1200.0,1200.0,0.0
12916,1,1,0,0,1200.0,1200.0,0.0
13363,1,1,0,0,1200.0,1200.0,0.0
20009979,1,1,0,0,1200.0,1200.0,0.0
20013876,1,1,0,0,1200.0,1200.0,0.0
20014578,1,1,0,0,1200.0,1200.0,0.0
20015840,1,1,0,0,1200.0,1200.0,0.0
20029169,1,1,0,0,1200.0,1200.0,0.0
20034667,1,1,0,0,1200.0,1200.0,0.0
20036863,1,1,0,0,1200.0,1200.0,0.0
20016508,1,1,0,0,1200.01,1200.0,0.009999999999990905
20016443,1,1,0,0,1200.02,1200.0,0.01999999999998181
20003479,1,1,0,0,2400.0,2400.0,0.0
20028302,1,1,0,0,2400.0,2400.0,0.0
13175,2,0,0,2,1200.0,0.0,1200.0
20017395,2,0,0,2,2400.0,0.0,2400.0
20032792,2,0,0,2,1200.0,0.0,1200.0
20038777,1,0,0,1,0.01,0.0,0.01
22577,1,1,0,0,710.0,710.0,0.0
11432,1,1,0,0,1199.98,1200.0,-0.01999999999998181
5991,1,1,0,0,1200.0,1200.0,0.0
7554,1,1,0,0,1200.0,1200.0,0.0
9835,1,1,0,0,1200.0,1200.0,0.0
10201,1,1,0,0,1200.0,1200.0,0.0
19144,1,1,0,0,1200.0,1200.0,0.0
20009957,1,1,0,0,1200.0,1200.0,0.0
20012250,1,1,0,0,1200.0,1200.0,0.0
20032121,1,1,0,0,1200.0,1200.0,0.0
20033551,1,1,0,0,1200.0,1200.0,0.0
18331,1,1,0,0,1761.7,1761.7,0.0
2159,1,0,0,1,0.97,0.0,0.97
2239,1,0,0,1,0.97,0.0,0.97
20006909,1,0,0,1,0.98,0.0,0.98
20024609,2,0,0,2,1200.0,0.0,1200.0
20031919,1,0,0,1,1019.2,0.0,1019.2
13075,1,1,0,0,1200.0,1200.0,0.0
18613,1,1,0,0,1200.0,1200.0,0.0
