ReconDate,BizID,Amount
31/01/2026,10971,1200.0
31/01/2026,11432,1200.0
31/01/2026,11773,1200.0
31/01/2026,12017,1200.0
31/01/2026,12148,1200.0
31/01/2026,12268,1200.0
31/01/2026,12484,1200.0
31/01/2026,12520,1200.0
31/01/2026,12749,1200.0
31/01/2026,12916,1200.0
31/01/2026,12917,1200.0
31/01/2026,13075,1200.0
31/01/2026,13128,1200.0
31/01/2026,13162,1200.0
31/01/2026,13175,1200.0
31/01/2026,13363,1200.0
31/01/2026,13384,1200.0
31/01/2026,13396,1200.0
31/01/2026,13562,1200.0
31/01/2026,13682,1200.0
31/01/2026,13685,1200.0
31/01/2026,13687,1200.0
31/01/2026,17819,1200.0
31/01/2026,18002,1200.0
31/01/2026,18331,1200.0
31/01/2026,18613,1200.0
31/01/2026,18616,1200.0
31/01/2026,18692,1200.0
31/01/2026,19144,1200.0
31/01/2026,20522,1200.0
31/01/2026,20682,1200.0
31/01/2026,20708,1200.0
31/01/2026,21431,1200.0
31/01/2026,21979,1200.0
31/01/2026,22093,1200.0
31/01/2026,22282,1200.0
31/01/2026,23248,1200.0
31/01/2026,20001717,1200.0
31/01/2026,20001757,1200.0
31/01/2026,20001893,1200.0
31/01/2026,20002125,1200.0
31/01/2026,20002185,1200.0
31/01/2026,20002440,1200.0
31/01/2026,20002540,1200.0
31/01/2026,20002724,1200.0
31/01/2026,20002827,1200.0
31/01/2026,20003345,1200.0
31/01/2026,20003371,1200.0
31/01/2026,20003479,1200.0
31/01/2026,20003495,1200.0
31/01/2026,20003543,1200.0
31/01/2026,20004525,1200.0
31/01/2026,20004599,1200.0
31/01/2026,20004631,1200.0
31/01/2026,20004791,1200.0
31/01/2026,20004934,1200.0
31/01/2026,20005133,1200.0
31/01/2026,20006820,1200.0
31/01/2026,20006909,1200.0
31/01/2026,20007012,1200.0
31/01/2026,20009083,1200.0
31/01/2026,20009957,1200.0
31/01/2026,20009979,1200.0
31/01/2026,20010224,1200.0
31/01/2026,20011122,1200.0
31/01/2026,20011353,1200.0
31/01/2026,20011653,1200.0
31/01/2026,20011690,1200.0
31/01/2026,20011819,1200.0
31/01/2026,20012026,1200.0
31/01/2026,20012250,1200.0
31/01/2026,20012457,1200.0
31/01/2026,20012471,1200.0
31/01/2026,20012557,1200.0
31/01/2026,20013279,1200.0
31/01/2026,20013876,1200.0
31/01/2026,20014326,1200.0
31/01/2026,20014578,1200.0
31/01/2026,20015149,1200.0
31/01/2026,20015319,1200.0
31/01/2026,20015322,1200.0
31/01/2026,20015343,1200.0
31/01/2026,20015840,1200.0
31/01/2026,20016443,1200.0
31/01/2026,20016508,1200.0
31/01/2026,20016563,1200.0
31/01/2026,20016660,1200.0
31/01/2026,20016981,1200.0
31/01/2026,20017114,1200.0
31/01/2026,20017223,1200.0
31/01/2026,20017295,1200.0
31/01/2026,20017526,1200.0
31/01/2026,20017529,1200.0
31/01/2026,20017683,1200.0
31/01/2026,20017823,1200.0
31/01/2026,20017959,1200.0
31/01/2026,20017976,1200.0
31/01/2026,20018092,1200.0
31/01/2026,20018177,1200.0
31/01/2026,20018468,1200.0
31/01/2026,20018993,1200.0
31/01/2026,20019128,1200.0
31/01/2026,20019297,1200.0
31/01/2026,20019327,1200.0
31/01/2026,20019480,1200.0
31/01/2026,20019484,1200.0
31/01/2026,20019530,1200.0
31/01/2026,20019716,1200.0
31/01/2026,20019718,1200.0
31/01/2026,20019945,1200.0
31/01/2026,20020528,1200.0
31/01/2026,20020853,1200.0
31/01/2026,20021015,1200.0
31/01/2026,20021897,1200.0
31/01/2026,20022037,1200.0
31/01/2026,20022490,1200.0
31/01/2026,20022871,1200.0
31/01/2026,20022909,1200.0
31/01/2026,20023111,1200.0
31/01/2026,20023123,1200.0
31/01/2026,20023556,1200.0
31/01/2026,20023705,1200.0
31/01/2026,20023719,1200.0
31/01/2026,20023720,1200.0
31/01/2026,20023807,1200.0
31/01/2026,20023869,1200.0
31/01/2026,20024609,1200.0
31/01/2026,20024640,1200.0
31/01/2026,20024710,1200.0
31/01/2026,20025987,1200.0
31/01/2026,20026074,1200.0
31/01/2026,20026101,1200.0
31/01/2026,20026274,1200.0
31/01/2026,20026415,1200.0
31/01/2026,20026593,1200.0
31/01/2026,20026602,1200.0
31/01/2026,20026746,1200.0
31/01/2026,20027669,1200.0
31/01/2026,20028132,1200.0
31/01/2026,20028140,1200.0
31/01/2026,20028382,1200.0
31/01/2026,20028386,1200.0
31/01/2026,20028485,1200.0
31/01/2026,20028522,1200.0
31/01/2026,20029169,1200.0
31/01/2026,20029224,1200.0
31/01/2026,20029470,1200.0
31/01/2026,20029513,1200.0
31/01/2026,20029858,1200.0
31/01/2026,20030171,1200.0
31/01/2026,20030258,1200.0
31/01/2026,20030753,1200.0
31/01/2026,20030887,1200.0
31/01/2026,20031688,1200.0
